City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
253,Itaqui,BR,78.28,overcast clouds,-29.1253,-56.5531,HOTEL BIASI - ITAQUI/RS
259,Pizarro,CO,79.14,light rain,4.9533,-77.366,Hotel Limonar
275,Veraval,IN,79.36,clear sky,20.9,70.3667,Lords Inn Somnath
279,The Valley,AI,77.83,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
286,Bandarbeyla,SO,80.82,broken clouds,9.4942,50.8122,JABIR HOTEL
288,Kribi,CM,78.39,moderate rain,2.95,9.9167,La Grace Hôtel
298,Eyl,SO,80.15,overcast clouds,7.9803,49.8164,Amiin Hotel
299,Conde,BR,76.46,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
304,Piacabucu,BR,77.34,clear sky,-10.4056,-36.4344,Piaçabuçu News
306,Natal,BR,80.82,light rain,-5.795,-35.2094,Villa Park Hotel | Natal
308,Aswan,EG,79.38,broken clouds,24.0934,32.907,Nuba Nile
314,Itapirapua,BR,76.59,scattered clouds,-15.8233,-50.6133,Hotel Nossa Senhora Aparecida
316,Machhlishahr,IN,87.37,clear sky,25.6833,82.4167,Dulhan pelece
317,Pedasi,PA,77.07,overcast clouds,7.5333,-80.0333,Selina Pedasi
320,Carora,VE,76.26,overcast clouds,10.1755,-70.0827,Hotel Irpinia
322,Cockburn Town,TC,76.68,clear sky,21.4612,-71.1419,Osprey Beach Hotel
323,Jhang,PK,77.61,clear sky,33.6748,72.6963,Bismallah sentory store
329,Bengkulu,ID,79.97,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
335,San Andres,CO,80.62,light intensity drizzle,12.5847,-81.7006,Hotel Arena Blanca
338,Meulaboh,ID,77.32,overcast clouds,4.1363,96.1285,Kost Pria
340,Mandali,IQ,75.6,overcast clouds,33.7499,45.5541,قرئ الشيخ سحاب الندا
348,Kanniyakumari,IN,82.44,few clouds,8.0833,77.5667,Sparsa Kanyakumari
356,Oistins,BB,77.09,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
358,Sur,OM,85.23,broken clouds,22.5667,59.5289,Sur Plaza Hotel
372,Guane,CU,76.05,clear sky,22.2025,-84.0875,base de Campismo LosPortales de Guane
373,Banda Aceh,ID,81.21,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
376,Aguadilla,PR,77.36,broken clouds,18.4275,-67.1541,WSSM Surf House
384,Tabou,CI,79.11,light rain,4.423,-7.3528,hotêl doufoulougou
392,Kapoeta,SS,76.8,overcast clouds,4.7717,33.5903,Eastgate Hotel
394,Waw,SS,79.88,few clouds,7.7029,27.9953,Universal Gab Hotel
397,Humaita,BR,76.68,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
401,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
403,Belmonte,BR,76.08,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
409,Abu Dhabi,AE,80.96,clear sky,24.4667,54.3667,Beach Rotana
412,Itacoatiara,BR,75.69,overcast clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
414,Anand,IN,75.18,clear sky,22.5667,72.9333,La Casa Inn Hotel & Restaurant
417,Roura,GF,81.97,scattered clouds,4.7263,-52.3274,Amazonie Découverte SARL
424,Talbahat,IN,87.98,clear sky,25.05,78.4333,PWD Guest House
427,Iracoubo,GF,78.19,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
431,Ormara,PK,81.21,clear sky,25.2088,64.6357,Kenara Colony house for Rent
433,Boundiali,CI,81.0,overcast clouds,9.5217,-6.4869,Hotel Paysan Boundiali
435,Kouroussa,GN,82.85,broken clouds,10.65,-9.8833,Hotel Tando Plus
444,San Onofre,CO,80.33,overcast clouds,9.7359,-75.5263,Hotel Sinai
446,Biu,NG,82.35,overcast clouds,10.6129,12.1946,Emir's Palace
447,Riohacha,CO,79.48,overcast clouds,11.5444,-72.9072,Hotel Taroa
449,Bundi,IN,83.91,clear sky,25.4417,75.6417,Hotel Bundi Inn-A Heritage Haveli
462,Malakal,SS,85.08,overcast clouds,9.5334,31.6605,Nile Palace Hotel
463,Barao De Melgaco,BR,79.14,clear sky,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
466,Araguaina,BR,78.62,broken clouds,-7.1911,-48.2072,Hotel São Vicente
468,Bahadurganj,IN,81.55,clear sky,26.2667,87.8167,Usmania Cottage
470,Carutapera,BR,75.56,overcast clouds,-1.195,-46.02,Lidera
474,Santarem,BR,77.13,broken clouds,-2.4431,-54.7083,Hotel Imperador
475,Porto Nacional,BR,75.2,clear sky,-10.7081,-48.4172,Vila Real Hotel
478,Buchanan,LR,79.39,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
479,Bahia Honda,CU,75.45,clear sky,22.9036,-83.1592,Casa Gualberto - Deysi
481,Biltine,TD,86.67,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
485,Valdosta,US,76.95,clear sky,30.8327,-83.2785,Courtyard by Marriott Valdosta
496,Berbera,SO,83.34,light rain,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
503,Spanish Town,JM,77.68,few clouds,17.9911,-76.9574,Shan's Cloud
506,Jucurutu,BR,79.38,overcast clouds,-6.0339,-37.0203,Pousada Miike
510,Cape Canaveral,US,77.07,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
517,Vasai,IN,84.29,clear sky,19.47,72.8,Jivdani Kripa
523,Tikapur,NP,77.9,clear sky,28.5,81.1333,BANANA AGRO RESORT
526,Anloga,GH,82.18,broken clouds,5.7947,0.8973,Pin Drop Hotel
527,Porto Novo,BJ,82.22,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
535,Road Town,VG,77.09,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
545,Ugoofaaru,MV,84.7,overcast clouds,5.6667,73.0,Ungoofaaru Inn
557,Niono,ML,85.82,clear sky,14.2526,-5.993,Hôtel Campement
