City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
184,Kudahuvadhoo,MV,83.46,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
186,Phalia,PK,80.8,clear sky,32.4297,73.5775,Sabri Hotel Phalia صابری ہوٹل پھالیہ
187,Boa Vista,BR,78.78,light rain,2.8197,-60.6733,Aipana Plaza Hotel
189,Lamu,KE,82.62,light rain,-2.2717,40.902,Lamu House
190,Rajsamand,IN,74.71,clear sky,25.0667,73.8833,dev heritage
195,Zaraza,VE,79.03,overcast clouds,9.3503,-65.3245,Hotel Zaraza
196,Matara,LK,78.67,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
197,Crateus,BR,75.87,broken clouds,-5.1783,-40.6775,Orient Plaza Hotel
199,San Cristobal,VE,73.58,overcast clouds,7.7669,-72.225,Pirineos
202,Souillac,MU,73.78,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
204,Anori,BR,77.38,overcast clouds,-3.7728,-61.6442,Novo Hotel 5 Irmãos
207,Nkhotakota,MW,71.38,light rain,-12.9274,34.2961,Sitima Inn
208,Siavonga,ZM,72.25,light rain,-16.5382,28.7088,Lavongora Waterfront Lodge
209,Black River,JM,76.71,broken clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
217,Fortaleza,BR,82.53,broken clouds,-3.7227,-38.5247,Hotel Sonata de Iracema
219,Kilindoni,TZ,79.59,light rain,-7.9139,39.6668,Bustani B&B
222,Warri,NG,76.26,moderate rain,5.5167,5.75,BON Hotel Delta
223,Mumford,GH,80.11,light rain,5.2618,-0.759,Spanish Villa
224,Grand Gaube,MU,73.8,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
225,Codajas,BR,76.55,overcast clouds,-3.8367,-62.0569,Atlântic Hotel
234,Antalaha,MG,71.83,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
242,Sinfra,CI,74.25,overcast clouds,6.6167,-5.9167,Hote Ivoire Sinfra
243,Dullewala,PK,81.3,clear sky,31.8359,71.4362,Sajid fruit shop
252,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
253,Itaqui,BR,78.28,overcast clouds,-29.1253,-56.5531,HOTEL BIASI - ITAQUI/RS
254,Rincon,US,71.56,scattered clouds,32.296,-81.2354,Days Inn Rincon
259,Pizarro,CO,79.14,light rain,4.9533,-77.366,Hotel Limonar
262,Imbituba,BR,74.86,few clouds,-28.24,-48.6703,Praia Hotel Imbituba
266,Rocha,UY,70.21,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
267,Trairi,BR,74.86,overcast clouds,-3.2778,-39.2689,janelas do mar
269,Vila Velha,BR,73.94,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
275,Veraval,IN,79.36,clear sky,20.9,70.3667,Lords Inn Somnath
279,The Valley,AI,77.83,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
280,Praia,CV,70.34,scattered clouds,14.9215,-23.5087,LT Aparthotel
283,Saint-Paul,RE,73.51,clear sky,-21.0096,55.2707,Boucan Canot
285,Namibe,AO,71.08,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
286,Bandarbeyla,SO,80.82,broken clouds,9.4942,50.8122,JABIR HOTEL
288,Kribi,CM,78.39,moderate rain,2.95,9.9167,La Grace Hôtel
291,Beira,MZ,71.53,light rain,-19.8436,34.8389,Beira Terrace Hotel
298,Eyl,SO,80.15,overcast clouds,7.9803,49.8164,Amiin Hotel
299,Conde,BR,76.46,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
304,Piacabucu,BR,77.34,clear sky,-10.4056,-36.4344,Piaçabuçu News
306,Natal,BR,80.82,light rain,-5.795,-35.2094,Villa Park Hotel | Natal
308,Aswan,EG,79.38,broken clouds,24.0934,32.907,Nuba Nile
314,Itapirapua,BR,76.59,scattered clouds,-15.8233,-50.6133,Hotel Nossa Senhora Aparecida
317,Pedasi,PA,77.07,overcast clouds,7.5333,-80.0333,Selina Pedasi
320,Carora,VE,76.26,overcast clouds,10.1755,-70.0827,Hotel Irpinia
322,Cockburn Town,TC,76.68,clear sky,21.4612,-71.1419,Osprey Beach Hotel
323,Jhang,PK,77.61,clear sky,33.6748,72.6963,Bismallah sentory store
329,Bengkulu,ID,79.97,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
335,San Andres,CO,80.62,light intensity drizzle,12.5847,-81.7006,Hotel Arena Blanca
338,Meulaboh,ID,77.32,overcast clouds,4.1363,96.1285,Kost Pria
340,Mandali,IQ,75.6,overcast clouds,33.7499,45.5541,قرئ الشيخ سحاب الندا
346,Januaria,BR,71.73,light rain,-15.4833,-44.3667,Hotel Paraguassu
348,Kanniyakumari,IN,82.44,few clouds,8.0833,77.5667,Sparsa Kanyakumari
353,Altamira,BR,73.22,moderate rain,-3.2033,-52.2064,Requinte Hotel
356,Oistins,BB,77.09,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
361,Hit,IQ,70.43,clear sky,33.6416,42.8251,بيت ابو رباح
365,Balkanabat,TM,70.3,overcast clouds,39.5108,54.3671,Nebitchi Hotel
369,Sechura,PE,70.03,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
372,Guane,CU,76.05,clear sky,22.2025,-84.0875,base de Campismo LosPortales de Guane
373,Banda Aceh,ID,81.21,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
375,Hurghada,EG,73.27,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
376,Aguadilla,PR,77.36,broken clouds,18.4275,-67.1541,WSSM Surf House
384,Tabou,CI,79.11,light rain,4.423,-7.3528,hotêl doufoulougou
387,Matay,EG,70.39,clear sky,28.419,30.7792,Nag Aespen
392,Kapoeta,SS,76.8,overcast clouds,4.7717,33.5903,Eastgate Hotel
394,Waw,SS,79.88,few clouds,7.7029,27.9953,Universal Gab Hotel
397,Humaita,BR,76.68,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
398,Cap Malheureux,MU,73.47,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
401,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
403,Belmonte,BR,76.08,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
404,Mirwah,YE,72.32,broken clouds,13.9228,43.9176,عاصم المليكي
405,Ankazoabo,MG,70.14,overcast clouds,-22.2833,44.5167,ENCEIN BUREAU CISCO
407,Sao Francisco,BR,71.96,light rain,-15.9486,-44.8644,Pousada Peixe Vivo
409,Abu Dhabi,AE,80.96,clear sky,24.4667,54.3667,Beach Rotana
412,Itacoatiara,BR,75.69,overcast clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
414,Anand,IN,75.18,clear sky,22.5667,72.9333,La Casa Inn Hotel & Restaurant
417,Roura,GF,81.97,scattered clouds,4.7263,-52.3274,Amazonie Découverte SARL
425,Yamoussoukro,CI,74.39,overcast clouds,6.8206,-5.2767,Residence Heaven
427,Iracoubo,GF,78.19,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
429,Maceio,BR,72.84,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
431,Ormara,PK,81.21,clear sky,25.2088,64.6357,Kenara Colony house for Rent
432,Saint-Leu,RE,72.46,clear sky,-21.15,55.2833,La Caz Oceane
433,Boundiali,CI,81.0,overcast clouds,9.5217,-6.4869,Hotel Paysan Boundiali
435,Kouroussa,GN,82.85,broken clouds,10.65,-9.8833,Hotel Tando Plus
444,San Onofre,CO,80.33,overcast clouds,9.7359,-75.5263,Hotel Sinai
446,Biu,NG,82.35,overcast clouds,10.6129,12.1946,Emir's Palace
447,Riohacha,CO,79.48,overcast clouds,11.5444,-72.9072,Hotel Taroa
449,Bundi,IN,83.91,clear sky,25.4417,75.6417,Hotel Bundi Inn-A Heritage Haveli
452,Charsadda,PK,74.01,few clouds,34.1435,71.7317,SHAHRIYAR KHAN HASTNAGAR
454,Ceres,US,74.05,clear sky,37.5949,-120.9577,Howard Johnson by Wyndham Modesto Ceres
460,Saint-Pierre,RE,73.08,clear sky,-21.3393,55.4781,Lindsey Hôtel
