City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Villa San Giovanni,IT,2022-04-22 23:43:51,38.2276,15.6386,62.01,77,20,13.8
68,Santa Cruz,BO,2022-04-22 23:41:33,-17.8,-63.1667,80.65,74,40,18.41
69,Margate,GB,2022-04-22 23:43:52,51.3813,1.3862,53.31,86,95,4.0
70,Alta Gracia,AR,2022-04-22 23:43:52,-31.6529,-64.4283,56.88,72,37,1.36
71,Sao Joao Da Barra,BR,2022-04-22 23:40:12,-21.6403,-41.0511,76.03,88,0,9.78
72,Lebu,CL,2022-04-22 23:43:53,-37.6167,-73.65,54.54,90,80,9.8
73,Saint-Georges,GD,2022-04-22 23:43:54,12.0564,-61.7485,78.48,78,20,11.5
74,Llanelli,GB,2022-04-22 23:43:54,51.682,-4.1619,52.86,66,40,12.66
75,Leh,IN,2022-04-22 23:43:55,34.1667,77.5833,34.95,70,49,3.2
76,Shache,CN,2022-04-22 23:43:55,38.4167,77.2406,69.71,35,100,1.7
77,The Valley,AI,2022-04-22 23:40:39,18.217,-63.0578,78.94,69,20,10.36
78,Georgetown,MY,2022-04-22 23:42:47,5.4112,100.3354,82.33,93,20,0.0
79,Rawson,AR,2022-04-22 23:43:56,-43.3002,-65.1023,57.07,46,86,13.15
80,Ust-Koksa,RU,2022-04-22 23:43:56,50.2696,85.6108,28.13,78,28,2.55
81,Visby,SE,2022-04-22 23:43:57,57.6409,18.296,36.82,93,11,6.91
82,Plouzane,FR,2022-04-22 23:43:58,48.3833,-4.6167,51.85,90,98,14.97
83,Nouakchott,MR,2022-04-22 23:43:27,18.0858,-15.9785,71.53,54,31,14.16
84,Honningsvag,NO,2022-04-22 23:43:58,70.9821,25.9704,33.55,93,100,2.3
85,Rafaela,AR,2022-04-22 23:43:59,-31.2503,-61.4867,52.99,70,45,3.0
86,Vila Franca Do Campo,PT,2022-04-22 23:43:59,37.7167,-25.4333,55.81,68,90,5.91
87,Usinsk,RU,2022-04-22 23:43:59,65.9939,57.5281,5.72,92,10,9.8
88,Touros,BR,2022-04-22 23:43:18,-5.1989,-35.4608,78.24,88,97,10.56
89,Sinnamary,GF,2022-04-22 23:44:00,5.3833,-52.95,75.65,91,100,6.76
90,Nouadhibou,MR,2022-04-22 23:45:01,20.931,-17.0347,64.38,72,0,17.27
91,Prokopyevsk,RU,2022-04-22 23:45:01,53.9059,86.719,22.77,73,81,8.39
92,Namibe,AO,2022-04-22 23:45:01,-15.1961,12.1522,72.28,81,50,5.77
93,Ponferrada,ES,2022-04-22 23:41:38,42.5466,-6.5962,44.15,93,98,1.99
94,Alta Floresta,BR,2022-04-22 23:45:02,-9.8756,-56.0861,72.1,96,80,2.91
95,Nata,PA,2022-04-22 23:45:03,8.3333,-80.5167,76.01,89,98,4.85
96,Outjo,NA,2022-04-22 23:45:03,-20.1167,16.15,60.57,48,4,4.52
97,Ust-Kulom,RU,2022-04-22 23:45:04,61.6864,53.6902,29.62,93,100,5.12
98,Grand Baie,MU,2022-04-22 23:45:04,-20.0182,57.5802,76.44,69,60,11.99
99,Mohan,IN,2022-04-22 23:45:05,26.7833,80.6833,78.75,21,3,1.43
100,Zonguldak,TR,2022-04-22 23:45:05,41.25,31.8333,51.76,66,11,7.0
101,Havelock,US,2022-04-22 23:45:06,34.8791,-76.9013,71.56,72,0,5.75
102,Constitucion,CL,2022-04-22 23:44:27,-35.3333,-72.4167,56.82,91,91,2.35
103,Soloneshnoye,RU,2022-04-22 23:45:06,51.6544,84.3197,30.31,71,36,1.66
104,Marsh Harbour,BS,2022-04-22 23:45:07,26.5412,-77.0636,73.71,65,75,21.32
105,Grindavik,IS,2022-04-22 23:45:07,63.8424,-22.4338,45.07,87,100,9.22
106,Qaqortoq,GL,2022-04-22 23:45:08,60.7167,-46.0333,34.25,94,100,3.09
107,Carnarvon,AU,2022-04-22 23:45:08,-24.8667,113.6333,64.47,59,0,8.05
108,Dikson,RU,2022-04-22 23:45:09,73.5069,80.5464,-7.2,100,100,5.77
109,Pimenta Bueno,BR,2022-04-22 23:45:09,-11.6725,-61.1936,74.08,97,67,3.13
110,Bayji,IQ,2022-04-22 23:45:10,34.9311,43.487,68.31,17,3,6.46
111,Codrington,AU,2022-04-22 23:45:10,-38.2667,141.9667,59.0,62,4,8.16
112,Soltau,DE,2022-04-22 23:41:52,52.9833,9.8333,53.28,78,22,11.01
113,Torres,BR,2022-04-22 23:45:11,-29.3353,-49.7269,70.83,87,100,7.0
114,Buraydah,SA,2022-04-22 23:45:11,26.326,43.975,79.25,17,100,2.3
115,Raudeberg,NO,2022-04-22 23:45:12,61.9875,5.1352,48.87,80,68,12.12
116,Moyale,KE,2022-04-22 23:45:12,3.5167,39.0584,67.01,81,97,3.22
117,Umea,SE,2022-04-22 23:45:13,63.8284,20.2597,42.73,61,0,5.75
118,Kastamonu,TR,2022-04-22 23:45:13,41.5,33.6667,47.89,68,10,2.42
119,Torbay,CA,2022-04-22 23:45:14,47.6666,-52.7314,39.97,54,100,8.05
120,Caledon,ZA,2022-04-22 23:45:15,-34.23,19.4265,51.06,72,30,6.42
121,Port Said,EG,2022-04-22 23:45:15,31.2565,32.2841,62.58,82,40,11.5
122,Clyde River,CA,2022-04-22 23:45:16,70.4692,-68.5914,-1.97,78,0,5.75
123,Sao Raimundo Nonato,BR,2022-04-22 23:43:20,-9.0153,-42.6994,79.14,52,62,2.39
124,Kuito,AO,2022-04-22 23:45:17,-12.3833,16.9333,54.43,78,94,4.23
125,Zhanakorgan,KZ,2022-04-22 23:45:17,43.9098,67.2495,68.58,38,95,3.31
126,Matara,LK,2022-04-22 23:45:18,5.9485,80.5353,77.88,87,99,3.15
127,Jacareacanga,BR,2022-04-22 23:45:18,-6.2222,-57.7528,73.99,98,96,2.42
128,Dhidhdhoo,MV,2022-04-22 23:40:26,6.8833,73.1,83.55,70,98,2.8
129,Pangnirtung,CA,2022-04-22 23:40:21,66.1451,-65.7125,4.5,92,78,4.05
130,Cap Malheureux,MU,2022-04-22 23:45:19,-19.9842,57.6142,76.46,69,68,11.99
131,Canaries,ES,2022-04-22 23:45:20,28.0,-15.5,55.4,61,20,5.75
132,Viedma,AR,2022-04-22 23:45:20,-40.8135,-62.9967,50.5,59,26,7.94
133,Hambantota,LK,2022-04-22 23:45:21,6.1241,81.1185,79.29,82,90,5.91
134,Ponta Delgada,PT,2022-04-22 23:43:20,37.7333,-25.6667,56.12,58,75,5.75
135,Omboue,GA,2022-04-22 23:45:21,-1.5746,9.2618,78.12,89,99,4.03
136,Kavaratti,IN,2022-04-22 23:46:22,10.5669,72.642,83.91,73,99,4.07
137,Road Town,VG,2022-04-22 23:46:23,18.4167,-64.6167,78.89,69,40,8.05
138,Dingle,PH,2022-04-22 23:46:23,10.9995,122.6711,82.35,78,42,10.2
139,Cockburn Town,TC,2022-04-22 23:44:46,21.4612,-71.1419,76.96,69,40,11.5
140,Allapalli,IN,2022-04-22 23:46:24,19.4167,80.0667,84.29,53,80,4.59
141,Bubaque,GW,2022-04-22 23:46:24,11.2833,-15.8333,76.59,80,69,15.95
142,Bibiani,GH,2022-04-22 23:46:25,6.4635,-2.3194,73.24,95,87,2.39
