City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Methoni,GR,4/22/2022 19:39,36.8197,21.7049,62.22,80,100,10.45
70,Cape Town,ZA,4/22/2022 19:36,-33.9258,18.4232,60.12,71,20,18.41
71,Lagoa,PT,4/22/2022 19:39,39.05,-27.9833,56.77,69,100,12.48
72,Kismayo,SO,4/22/2022 19:39,-0.3582,42.5454,81.68,78,100,10.8
73,Havre-Saint-Pierre,CA,4/22/2022 19:37,50.2334,-63.5986,35.96,100,100,14.97
74,Los Llanos De Aridane,ES,4/22/2022 19:39,28.6585,-17.9182,64.15,76,75,6.91
75,Saint-Joseph,RE,4/22/2022 19:39,-21.3667,55.6167,75.58,81,50,17.52
76,Nizwa,OM,4/22/2022 19:39,22.9333,57.5333,82.81,24,90,2.8
77,Sorland,NO,4/22/2022 19:38,67.667,12.6934,40.86,79,93,18.52
78,Rozmital Pod Tremsinem,CZ,4/22/2022 19:39,49.602,13.8643,46.35,100,100,6.69
79,Tasiilaq,GL,4/22/2022 19:39,65.6145,-37.6368,41.16,94,100,5.82
80,Dingle,PH,4/22/2022 19:39,10.9995,122.6711,76.15,91,26,7.07
81,Codrington,AU,4/22/2022 19:39,-38.2667,141.9667,45.9,87,5,6.51
82,Sompeta,IN,4/22/2022 19:39,18.9333,84.6,80.89,82,4,14.38
83,Dwarahat,IN,4/22/2022 19:39,29.7833,79.4333,59.29,48,1,4.32
84,Pihani,IN,4/22/2022 19:39,27.6333,80.2,85.12,19,4,5.61
85,Torbay,CA,4/22/2022 19:35,47.6666,-52.7314,48.97,62,100,12.66
86,Port Hawkesbury,CA,4/22/2022 19:39,45.6169,-61.3485,53.55,84,40,5.99
87,Soyo,AO,4/22/2022 19:39,-6.1349,12.3689,79.2,87,11,6.4
88,Berberati,CF,4/22/2022 19:39,4.2612,15.7922,73,79,73,3.13
89,Nanortalik,GL,4/22/2022 19:39,60.1432,-45.2371,35.96,98,100,1.97
90,Narsaq,GL,4/22/2022 19:40,60.9167,-46.05,50.22,78,100,3.6
91,Kutina,HR,4/22/2022 19:40,45.475,16.7819,49.82,97,100,3.67
92,Ostrovnoy,RU,4/22/2022 19:40,68.0531,39.5131,29.62,91,100,12.95
93,Pisco,PE,4/22/2022 19:36,-13.7,-76.2167,69.85,73,0,20.71
94,Goderich,CA,4/22/2022 19:40,43.7501,-81.7165,43.92,81,100,8.32
95,Baft,IR,4/22/2022 19:40,29.234,56.6057,56.88,44,52,3.02
96,Raudeberg,NO,4/22/2022 19:40,61.9875,5.1352,56.07,78,42,16.96
97,Nadym,RU,4/22/2022 19:40,65.5333,72.5167,0.41,99,84,9.57
98,Port Elizabeth,ZA,4/22/2022 19:40,-33.918,25.5701,61.32,85,0,16.11
99,Upernavik,GL,4/22/2022 19:41,72.7868,-56.1549,13.05,83,100,3.8
100,Stornoway,GB,4/22/2022 19:41,58.2093,-6.3865,47.93,92,75,18.41
101,Caravelas,BR,4/22/2022 19:41,-17.7125,-39.2481,78.21,69,9,6.96
102,Luderitz,NA,4/22/2022 19:41,-26.6481,15.1594,62.4,71,0,18.63
103,Acarau,BR,4/22/2022 19:41,-2.8856,-40.12,80.44,82,95,10.29
104,Cidreira,BR,4/22/2022 19:41,-30.1811,-50.2056,72.03,75,100,10.56
105,San Vicente De Canete,PE,4/22/2022 19:41,-13.0751,-76.3835,71.83,79,60,8.5
106,Sao Jose Da Coroa Grande,BR,4/22/2022 19:41,-8.8978,-35.1478,80.49,80,18,6.89
107,Vardo,NO,4/22/2022 19:41,70.3705,31.1107,35.58,93,75,11.5
108,Georgetown,MY,4/22/2022 19:36,5.4112,100.3354,80.53,93,20,2.3
109,Port Alfred,ZA,4/22/2022 19:41,-33.5906,26.891,61.18,92,100,1.99
110,Beni,CD,4/22/2022 19:41,0.5,29.4667,62.2,99,71,2.26
111,Rokytne,UA,4/22/2022 19:41,51.2796,27.214,41.79,96,100,3.04
112,Hobyo,SO,4/22/2022 19:41,5.3505,48.5268,83.57,73,73,12.35
113,Ambilobe,MG,4/22/2022 19:41,-13.2,49.05,73.54,92,79,4.18
114,Chake Chake,TZ,4/22/2022 19:41,-5.2459,39.7666,79.86,78,97,5.08
115,Tumaco,CO,4/22/2022 19:41,1.7986,-78.8156,80.67,80,39,8.39
116,Ribeira Grande,PT,4/22/2022 19:41,38.5167,-28.7,59.4,63,75,10.36
117,Boende,CD,4/22/2022 19:41,-0.2167,20.8667,73.4,91,96,1.57
118,Berlevag,NO,4/22/2022 19:41,70.8578,29.0864,39.15,81,75,17.27
119,Leirvik,NO,4/22/2022 19:41,59.7798,5.5005,50.05,73,0,8.28
120,Sept-Iles,CA,4/22/2022 19:40,50.2001,-66.3821,46.92,57,75,10.36
121,Quibdo,CO,4/22/2022 19:41,5.6947,-76.6611,91.74,49,40,6.91
122,Mehamn,NO,4/22/2022 19:41,71.0357,27.8492,39.11,80,75,17.27
123,Andenes,NO,4/22/2022 19:41,69.3143,16.1194,39.18,87,75,11.5
124,Ribeira Brava,PT,4/22/2022 19:41,32.65,-17.0667,65.03,65,89,15.46
125,Lebu,CL,4/22/2022 19:41,-37.6167,-73.65,57.38,85,73,8.21
126,Nantucket,US,4/22/2022 19:41,41.2835,-70.0995,68.14,37,0,16.11
127,Saquarema,BR,4/22/2022 19:41,-22.92,-42.5103,80.74,81,0,6.64
128,Sistranda,NO,4/22/2022 19:37,63.7256,8.834,44.56,82,100,22.39
129,Bure,ET,4/22/2022 19:41,10.7,37.0667,62.91,71,100,4.63
